epoch,accuracy,loss,val_accuracy,val_loss
0,0.3514222204685211,2.6107051372528076,0.6471999883651733,1.2607240676879883
1,0.556244432926178,1.6086046695709229,0.7020000219345093,1.0476973056793213
2,0.6145111322402954,1.364486575126648,0.7179999947547913,0.9724078178405762
3,0.6524222493171692,1.2145615816116333,0.7278000116348267,0.928637683391571
4,0.6841111183166504,1.0996160507202148,0.741599977016449,0.885736346244812
5,0.7060889005661011,1.0059814453125,0.7534000277519226,0.8655256628990173
6,0.7227333188056946,0.9383596181869507,0.7427999973297119,0.8772473335266113
7,0.7438444495201111,0.8668231964111328,0.7472000122070312,0.8826821446418762
8,0.7574889063835144,0.8038480281829834,0.7540000081062317,0.8607909083366394
9,0.7712000012397766,0.7506863474845886,0.7558000087738037,0.8696943521499634
10,0.7852444648742676,0.7146720290184021,0.753600001335144,0.8697145581245422
11,0.7978444695472717,0.66176837682724,0.7595999836921692,0.8603468537330627
12,0.8094888925552368,0.6246062517166138,0.7563999891281128,0.8859408497810364
13,0.8183777928352356,0.5856305360794067,0.7541999816894531,0.9017848372459412
14,0.82551109790802,0.5566253662109375,0.7623999714851379,0.8950178623199463
15,0.8384222388267517,0.5248990654945374,0.7577999830245972,0.9172667264938354
16,0.842555582523346,0.5050885677337646,0.754800021648407,0.9162555932998657
17,0.8537999987602234,0.46663978695869446,0.7576000094413757,0.9459658265113831
18,0.8575778007507324,0.449569433927536,0.7639999985694885,0.9229427576065063
19,0.8672000169754028,0.42260077595710754,0.7620000243186951,0.9483880996704102
