epoch,accuracy,loss,val_accuracy,val_loss
0,0.2379777729511261,3.299229621887207,0.5852000117301941,1.6614943742752075
1,0.5307111144065857,1.738419771194458,0.6883999705314636,1.1647104024887085
2,0.6298888921737671,1.3258442878723145,0.7098000049591064,1.0219542980194092
3,0.6868000030517578,1.1007027626037598,0.7382000088691711,0.9097155332565308
4,0.7242444157600403,0.9654541611671448,0.7588000297546387,0.8279302716255188
5,0.7472888827323914,0.8645515441894531,0.7706000208854675,0.7864031195640564
6,0.7659333348274231,0.7871167659759521,0.7749999761581421,0.7804751992225647
7,0.785955548286438,0.7209343910217285,0.7821999788284302,0.7414856553077698
8,0.8008666634559631,0.66458660364151,0.7893999814987183,0.7192113399505615
9,0.8129110932350159,0.6166521310806274,0.7979999780654907,0.6976886987686157
10,0.8244666457176208,0.5734105110168457,0.8014000058174133,0.6828612089157104
11,0.838866651058197,0.5346574187278748,0.8029999732971191,0.6802876591682434
12,0.8468666672706604,0.49978893995285034,0.7997999787330627,0.7133958339691162
13,0.8535110950469971,0.4667283296585083,0.8100000023841858,0.6772385239601135
14,0.8645555377006531,0.43540269136428833,0.8133999705314636,0.6960108876228333
15,0.8695999979972839,0.4115394949913025,0.8062000274658203,0.6884250640869141
16,0.878777801990509,0.38540875911712646,0.8137999773025513,0.6917597055435181
17,0.8860889077186584,0.36159399151802063,0.8194000124931335,0.6778889894485474
18,0.8905333280563354,0.342631459236145,0.8181999921798706,0.6875987648963928
19,0.8966000080108643,0.3276556730270386,0.8151999711990356,0.6813942790031433
20,0.9022444486618042,0.3072037994861603,0.8235999941825867,0.666500449180603
21,0.9077555537223816,0.2899954319000244,0.8248000144958496,0.6710386872291565
22,0.9112666845321655,0.27147331833839417,0.8155999779701233,0.7053767442703247
23,0.9137555360794067,0.2671205699443817,0.8230000138282776,0.6889612078666687
24,0.9196666479110718,0.24814529716968536,0.8209999799728394,0.6993473768234253
25,0.9240666627883911,0.23508112132549286,0.8245999813079834,0.6998906135559082
26,0.9282666444778442,0.2205638736486435,0.8248000144958496,0.7053734064102173
27,0.931755542755127,0.21008102595806122,0.823199987411499,0.702162504196167
28,0.9362000226974487,0.20055590569972992,0.8288000226020813,0.6998437643051147
29,0.9361555576324463,0.197374626994133,0.8325999975204468,0.7047687768936157
30,0.9401999711990356,0.18170779943466187,0.828000009059906,0.7305817008018494
